range,payload,cost
9.186551094,12,2934.171631
9.186551094,12,2934.171631
9.186551094,12,2934.171631
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
8.29061985,16,2939.949463
50.41148376,5,6340.180176
50.41148376,5,6340.180176
51.35989761,5,6553.562012
50.41148376,5,6340.180176
50.41148376,5,6340.180176
51.35989761,5,6553.562012
50.41148376,5,6340.180176
59.66614914,5,7669.691406
50.41148376,5,6340.180176
59.66614914,5,7669.691406
50.41148376,5,6340.180176
50.41148376,5,6340.180176
50.41148376,5,6340.180176
9.771212578,5,3679.574219
50.41148376,5,6340.180176
9.771212578,5,3679.574219
7.728058815,5,4145.700195
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
7.728058815,5,4145.700195
22.29216957,5,3591.67041
22.29216957,5,3591.67041
50.41148376,5,6340.180176
22.29216957,5,3591.67041
22.29216957,5,3591.67041
9.771212578,5,3679.574219
9.771212578,5,3679.574219
31.47830009,25,6340.179688
31.47830009,25,6340.179688
31.47830009,25,6340.179688
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
22.29216957,5,3591.67041
9.747408867,20,3591.671875
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
31.47830009,25,6340.179688
9.747408867,20,3591.671875
9.747408867,20,3591.671875
48.47856522,10,7465.825684
9.747408867,20,3591.671875
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
29.66911316,27,6340.179688
31.47830009,25,6340.179688
29.66911316,27,6340.179688
48.47856522,10,7465.825684
