range,cost,capacity,config
6.865856647,2078.556396,9,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^ef^bg^bg,9,3"
19.35999107,1715.601929,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------------*gNL3---------------------------^ab^ac^ad^ae^df^ef^cg^bg,0,3"
43.18186188,1748.085571,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^ef^cg^bg,1,3"
3.691017628,1715.601929,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------------*gNL3----------------------------^ab^ac^ad^ae^df^ef^cg^bg,2,3"
4.268924713,1761.684937,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^ef^cg^bg,5,3"
2.994118452,1748.085571,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3-----------------^ab^ac^ad^ae^df^ef^cg^bg,5,3"
2.785108089,1744.017944,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^bg,5,3"
6.404345512,1920.538086,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^ef^cg^bg,7,3"
6.736697674,2074.025391,9,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^ef^cg^bg,9,3"
6.461595058,2065.661621,9,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^bg,9,3"
3.025508642,1750.233643,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------*gNL3----------------^ab^ac^ad^ae^df^ef^cg^eg,5,3"
2.022603273,1725.476196,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3------------------------^ab^ac^ad^ae^df^ef^cg^eg,5,3"
7.66520071,1925.811157,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^ef^cg^eg,6,3"
4.535067558,1883.742065,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^ef^cg^eg,6,3"
3.479150772,1756.91272,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^ef^cg^eg,6,3"
2.530308723,1744.017944,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^eg,6,3"
12.24097729,2153.520752,7,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3---*gNL3---^ab^ac^ad^ae^df^ef^cg^eg,7,3"
7.763175488,2093.621094,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^ef^cg^eg,8,3"
7.161246777,2074.025391,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^ef^cg^eg,8,3"
6.881635189,2065.661621,8,"*aMM0*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^ef^cg^eg,8,3"
6.060528755,1783.309204,5,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^ef^cg^eg5,5,3"
24.55929565,1736.543457,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg,1,3"
