range,capacity,cost,velocity,config
12.76170921,20,4586.816406,31.62206459,"*aMM0----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0-*gNL0-*hMO1*iMK1*jOM2*kKM2^ab^ac^ad^ae^df^eg^ch^ei^bj^dk^fc^gb,20,3"
12.77107334,15,5127.526367,9.805508614,"*aMM0+++++++++*bNM2++*cMN1+++*dLM2++*eML1+++*fLN3++++*gNL3++++*hLL2+++*iNN1+++^ab^ac^ad^ae^cf^bg^dh^ci^bi^df^eg^eh,15,3"
12.8473711,20,5436.636719,9.894077301,"*aMM0++++++++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fNL3*gLN3^ab^ac^ad^ae^ef^cg,20,3"
13.07257366,15,5920.334473,12.2420845,"*aMM0+++++++++++*bNM1++*cMN2++*dLM1++*eML2++*fNN4++++++*gLL4++*hOM2+++*iMO1+++*jMK1+++*kKM2+++^ab^ac^ad^ae^bf^cf^dg^eg^bh^ci^ej^dk,15,3"
13.11901093,15,3941.512695,31.27255249,"*aMM0--*bNM2++*cMN1++*dLM2++*eML1++*fLN0---*gLL1+*hNL0---*iNN2+^ab^ac^ad^ae^cf^dg^eh^bi,15,3"
13.22674084,30,4992.571289,29.24734306,"*aMM0-*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN0-*gNL0-^ab^ac^ad^ae^df^eg^fc^gb,30,3"
13.28150082,15,6492.083984,13.41355515,"*aMM0+++++++++++*bNM1++++++*cMN2++++++*dLM1++++++*eML2++++++*fNN4++++++*gLL4++^ab^ac^ad^ae^bf^cf^dg^eg,15,3"
13.2843399,30,4494.882813,31.73791885,"*aMM0-----*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0*gNL0^ab^ac^ad^ae^df^eg^fc^gb,30,3"
13.39027119,7,4318.766113,15.72921848,"*aMM0++++++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,7,3"
13.50049496,70,6942.846191,24.31986237,"*aMM0+*bNM2+++*cMN2+++*dLM1+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,70,3"
