session305
Time,User,Action,Type
2020-04-08 20:32:00.406097+00:00,cmu_04,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,3470,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:41:50.747152+00:00,cmu_06,planner;VehiclePathRemoved;2;base,client
2020-04-08 20:32:06.526177+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:32:06.811241+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:32:07.306724+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:32:07.323879+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,6940,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:07.636495+00:00,cmu_02,"designer;Opened;base;*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",client
2020-04-08 20:32:13.453454+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,6940,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:13.454484+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:32:13.483305+00:00,cmu_03,designer;StartSession,client
2020-04-08 20:32:14.460682+00:00,cmu_02,designer;LoadVehicles,client
2020-04-08 20:32:15.491819+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:15.492559+00:00,cmu_06,"planner;VehicleDuplicated;0;base;*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3;ToIndex=2",client
2020-04-08 20:32:16.451527+00:00,cmu_06,planner;VehiclePathRemoved;0;base,client
2020-04-08 20:32:17.319021+00:00,cmu_06,planner;VehiclePathRemoved;0;base,client
2020-04-08 20:32:17.591324+00:00,cmu_03,"designer;MouseClick;NoEvent;*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",client
2020-04-08 20:32:18.686695+00:00,cmu_06,planner;VehiclePathRemoved;0;base,client
2020-04-08 20:32:21.238074+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:32:21.254845+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:21.837277+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:32:21.853261+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:27.901027+00:00,cmu_04,planner;VehicleToggle;0;False;base,client
2020-04-08 20:32:27.971001+00:00,cmu_04,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,0,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:28.771297+00:00,cmu_04,planner;VehicleToggle;0;True;base,client
2020-04-08 20:32:28.834666+00:00,cmu_04,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,3470,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:28.866824+00:00,cmu_03,"designer;MouseClick;ToggleFoil;*aMM0+++++*bNM2+++*cMN3+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",client
2020-04-08 20:32:32.788059+00:00,cmu_03,"designer;MouseClick;ToggleEmpty;*aMM0+++++*bNM2+++*cMN4+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",client
2020-04-08 20:32:33.138913+00:00,cmu_03,"designer;MouseClick;ToggleStructure;*aMM0+++++*bNM2+++*cMN0+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",client
2020-04-08 20:32:33.626104+00:00,cmu_02,hello ,chat: All @32___305
2020-04-08 20:32:33.739032+00:00,cmu_03,"designer;MouseClick;AssemblyHandle;*aMM0+++++*bNM2+++*cMN0+++*dLM2+++*eML1+++*fNN4^ab^ac^ad^ae^cf,5,3",client
2020-04-08 20:32:34.373155+00:00,cmu_03,"designer;MouseClick;AssemblyHandle;*aMM0+++++*bNM2+++*cMN0+++*dLM2+++*eML1+++*fNN4*gON4^ab^ac^ad^ae^cf^fg,5,3",client
2020-04-08 20:32:36.125710+00:00,cmu_03,"designer;ScaleUp;*aMM0+++++*bNM2+++*cMN0+++*dLM2+++*eML1+++*fNN4*gON4^ab^ac^ad^ae^cf^fg,5,3",client
2020-04-08 20:32:36.568249+00:00,cmu_06,planner;ToggleInfoPanel:True,client
2020-04-08 20:32:38.006892+00:00,cmu_06,planner;ToggleInfoPanel:False,client
2020-04-08 20:32:38.364157+00:00,cmu_03,"designer;MouseClick;ToggleCCWMotor;*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fNN4*gON4^ab^ac^ad^ae^cf^fg,5,3",client
2020-04-08 20:32:39.355469+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:32:39.581566+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:32:39.908165+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:32:40.187727+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:32:40.430238+00:00,cmu_03,"designer;MouseClick;ToggleStructure;*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fNN0*gON4^ab^ac^ad^ae^cf^fg,5,3",client
2020-04-08 20:32:41.379707+00:00,cmu_03,"designer;MouseClick;ToggleCCWMotor;*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fNN2*gON4^ab^ac^ad^ae^cf^fg,5,3",client
2020-04-08 20:32:42.736516+00:00,cmu_03,"designer;MouseClick;ToggleStructure;*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fNN2*gON0^ab^ac^ad^ae^cf^fg,5,3",client
2020-04-08 20:32:44.095003+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:32:44.477473+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:32:45.049739+00:00,cmu_03,"designer;MouseClick;AssemblyHandle;*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fNN2*gON0*hOM4^ab^ac^ad^ae^cf^fg^gh,5,3",client
2020-04-08 20:32:45.165228+00:00,cmu_01,"Hi all, I just submitted a costumor plan ",chat: All @32___305
2020-04-08 20:32:46.134592+00:00,cmu_03,"designer;MouseClick;AssemblyChange;*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fNN2*gON0*hOM4*iOO4^ab^ac^ad^ae^cf^fg^gh^gi,5,3",client
2020-04-08 20:32:48.236397+00:00,cmu_06,planner;SelectPath;1;base,client
2020-04-08 20:32:48.237178+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
