seq	config	result	range	capacity	cost	velocity	start	type	start_seq	start_submit
283	"*aMM0+++++++++++++++++*bNM2++++++*cMN1++++++*dLM2++++++*eML1++++++*fNN4-*gOM1++++*hMO2++++*iMK2++++*jKM1++++*kLL4^ab^ac^ad^ae^bf^bg^ch^ei^dj^dk^cf^ek,25,3"	Success	14.32082	25	10225.84	8.249794	0	Evaluate	0	0
283	"*aMM0+++++++++++++++++++*bNM2++++++*cMN1++++++*dLM2++++++*eML1++++++*fNN4*gOM1++++*hMO2++++*iMK2++++*jKM1++++*kLL4*lNL3+++*mLN3+++^ab^ac^ad^ae^bf^bg^ch^ei^dj^dk^cf^ek^el^cm,25,3"	Success	16.73358	25	11486.57	6.71181	0	Evaluate	0	0
283	"*aMM0+++++++++++++++++++*bNM2++++++*cMN1++++++*dLM2++++++*eML1++++++*fNN4*gOM1++++*hMO2++++*iMK2++++*jKM1++++*kLL4*lNL3+++*mLN3+++^ab^ac^ad^ae^bf^bg^ch^ei^dj^dk^cf^ek^el^cm,25,3"	Submit	16.73358	25	11486.57	6.71181	0	Submit	0	0
284	"*aMM0++++++++++++++++++*bNM2++++++*cMN1++++++*dLM2++++++*eML1++++++*fLN0+++*gNL0+++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,80,3"	Open	-0.04859672	80	14440.09	0.000309654	1	Open	0	0
284	"*aMM0+++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fLN0+++*gNL0+++*hOM1+++++*iMO2+++++*jMK2+++++*kKM1+++++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,40,3"	HitBoundary	4.886064	40	9608.17	109.9019	0	Evaluate	0	0
284	"*aMM0++++*bNM1++*cMN2++*dLM1+++*eML2+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,60,3"	Success	13.02009	60	7472.477	21.68346	0	Evaluate	0	0
284	"*aMM0++++*bNM1++*cMN2++*dLM1++*eML2++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,60,3"	Success	18.3743	60	7361.352	22.24581	0	Evaluate	0	0
285	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO2*gOM1*hKM1*iMK2^ab^ac^ad^ae^cf^bg^dh^ei,30,3"	Success	2.116468	30	3782.201	12.02881	1	Evaluate	1	0
285	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fMO3+++*gOM3+++*hKM3+++*iMK3+++^ab^ac^ad^ae^cf^bg^dh^ei,15,3"	Success	7.195187	15	3847.492	13.52664	0	Evaluate	0	0
285	"*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++*fOM0+++*gMO0+++*hKM0+++*iMK0++^ab^ac^ad^ae^bf^cg^dh^ei,5,3"	CouldNotStabilize	-0.1107508	5	11230.25	9.0809	0	Evaluate	0	0
